Year,SongTitle,IntroLength,SongLength,Ranking50,Genre,Language,Ranking
2019,Lucid Dreams,22,240,0,Hiphop,English,48
2019,Mo Bamba,5,184,0,Hiphop,English,49
2019,Beautiful People (feat. Khalid),15,198,0,Pop,English,50
2019,Wake Up in the Sky,11,205,1,Hiphop,English,51
2019,Whiskey Glasses,0,234,1,Country,English,52
2019,God's Country,16,205,1,Country,English,53
2019,Be Alright,3,196,1,Pop,English,54
2019,Pure Water (with Migos),8,195,1,Hiphop,English,55
2019,The Git Up,18,201,1,Country,English,56
2019,Taki Taki,9,213,1,LatinPop,"Spanish, English",57
2019,Close To Me,5,183,1,Pop,English,58
2019,Envy Me,1,120,1,Hiphop,English,59
2019,You Say,14,275,1,Pop,English,60
2019,"Hey Looka Ma, I Made It",19,170,1,Pop,English,61
2019,Circles,33,215,1,Pop,English,62
2019,Beer Never Broke My Heart,15,187,1,Country,English,63
2019,The London (feat. J. Cole),20,200,1,Hiphop,English,64
2019,Con Calma - Remix,9,181,1,LatinPop,"Spanish, English",65
2019,Murder on My Mind,15,268,1,Hiphop,English,66
2019,when the party's over,16,196,1,Pop,English,67
2019,Act Up,9,158,1,Hiphop,English,68
2019,I Like It,12,253,1,LatinPop,English,69
2019,Trampoline,2,184,1,Pop,English,70
2019,Leave Me Alone,12,196,1,Hiphop,English,71
2019,breathin,9,198,1,Pop,English,72
2019,bury a friend,6,193,1,Pop,English,73
2019,Close Friends (Lil Baby & Gunna),11,204,1,Hiphop,English,74
2019,Baby Shark,2,81,1,Pop,English,75
2019,My Type,9,126,1,Hiphop,English,76
2019,Worth It,14,189,1,Hiphop,English,77
2019,Only Human,22,183,1,Pop,English,78
2019,Knockin' Boots,0,199,1,Country,English,79
2019,Trip,10,214,1,Rnb/Soul,English,80
2019,Rumor,17,198,1,Country,English,81
2019,Swervin (feat. 6ix9ine),9,189,1,Hiphop,English,82
2019,How Do You Sleep?,22,202,1,Pop,English,83
2019,Baby (Lil Baby feat. DaBaby),1,142,1,Hiphop,English,84
2019,Look What God Gave Her,7,169,1,Country,English,85
2019,Good as You,11,192,1,Country,English,86
2019,Clout (feat. Cardi B),12,206,1,Hiphop,English,87
2019,Love Lies (with Normani),13,202,1,RnB/Soul,English,88
2019,One Thing Right,0,182,1,Pop,English,89
2019,Cash Shit (feat. DaBaby),14,193,1,Hiphop,English,90
2019,Tequila,4,197,1,Pop,English,91
2019,Shotta Flow,18,160,1,Hiphop,English,92
2019,Hot Girl Summer,10,199,1,Hiphop,English,93
2019,Talk You Out Of It,18,203,1,Country,English,94
2019,Beautiful (feat. Camila Cabello),1,180,1,Pop,English,95
2019,Eyes On You,9,182,1,Country,English,96
2019,All To Myself,9,170,1,Pop,English,97
2019,boyfriend (with Social House),8,186,1,Pop,English,98
2019,Walk Me Home,8,177,1,Pop,English,99
2019,Roberry,10,240,1,Hiphop,English,100
2020,Blinding Lights,26,202,0,Pop,English,1
2020,Circles,33,215,0,Pop,English,2
2020,The Box,15,197,0,Hiphop,English,3
2020,Don't Start Now,7,183,0,Pop,English,4
2020,Rockstar,21,182,0,Hiphop,English,5
2020,Adore You,9,207,0,Pop,English,6
2020,Life Is Good,11,238,0,Hiphop,English,7
2020,Memories,10,189,0,Pop,English,8
